gender,category,subcategory,size,brand,min_price,max_price,rating
female,topware,half kurthi,M,Wrangler,1780,3464,4.9
female,bottomware,shorts,L,Zara,647,2363,4.8
unisex,topware,tshirts,XXL,Flying Machine,2129,2876,4.2
unisex,topware,tshirts,L,Adidas,2365,3081,4.7
male,bottomware,night pants,XXL,Pepe Jeans,594,2259,3.4
male,topware,kurtha,M,US Polo,1513,2146,3.2
male,bottomware,night pants,XXL,US Polo,2098,3628,3.4
male,topware,kurtha,L,Roadster,2658,3563,3.8
female,topware,shirt,M,Peter England,2303,4422,3.5
male,bottomware,night pants,L,Wrangler,917,1352,4.5
male,topware,shirts,XL,Arrow,1865,3171,4.6
unisex,topware,shirts,XL,H&M,560,3017,4.9
male,bottomware,shorts,XL,Roadster,1047,1998,4.0
male,bottomware,pants,M,Van Heusen,2999,5887,4.9
male,topware,kurtha,M,Louis Philippe,1724,2200,4.5
male,bottomware,shorts,XXL,Roadster,405,2718,4.9
female,bottomware,leggings,XL,Flying Machine,2276,4032,4.9
unisex,bottomware,shorts,S,Louis Philippe,2095,2199,3.5
unisex,topware,tshirts,M,Flying Machine,814,1130,3.8
female,bottomware,night pants,S,Spykar,1559,4400,4.2
male,bottomware,night pants,S,US Polo,2173,3679,3.6
unisex,bottomware,shorts,XXL,Pepe Jeans,634,1088,3.8
male,topware,kurtha,L,Pepe Jeans,483,1401,3.3
female,topware,shirt,XL,Pepe Jeans,2476,3683,3.1
unisex,bottomware,shorts,L,Louis Philippe,1856,2339,3.2
male,topware,kurtha,XXL,Netplay,573,2833,3.1
unisex,topware,shirts,L,H&M,2800,4277,4.4
female,topware,saree,XXL,Louis Philippe,2002,2465,3.7
male,bottomware,shorts,S,Allen Solly,1777,3564,4.3
female,topware,shirt,M,Nike,2701,3363,4.7
male,bottomware,night pants,XL,Tommy Hilfiger,2113,2638,4.9
unisex,topware,tshirts,XXL,US Polo,2067,4808,3.0
unisex,bottomware,pants,L,Netplay,2699,3467,4.7
female,topware,kurthi,M,Wrangler,476,2541,3.3
unisex,bottomware,shorts,XL,Wrangler,2131,5106,3.6
male,topware,tshirts,S,Peter England,2981,5862,3.5
male,topware,tshirts,M,Louis Philippe,2632,3813,4.1
female,topware,half kurthi,L,Gucci,2103,5043,3.5
unisex,bottomware,pants,L,Ralph Lauren,442,3235,4.7
female,bottomware,shorts,L,Netplay,1535,3280,4.6
female,topware,kurthi,M,Ralph Lauren,2907,3781,4.9
male,bottomware,night pants,XXL,US Polo,2851,2989,4.8
female,bottomware,shorts,XXL,Arrow,1287,3273,4.1
unisex,bottomware,shorts,M,Allen Solly,2464,3076,3.7
unisex,topware,shirts,L,Arrow,648,2883,4.3
unisex,bottomware,shorts,M,Arrow,1456,3790,3.2
unisex,topware,tshirts,M,Wrangler,2147,3742,3.5
unisex,bottomware,pants,XL,US Polo,1010,3374,4.3
unisex,topware,tshirts,XL,Levi's,2056,3974,4.0
female,bottomware,pants,L,H&M,2093,4073,4.7
female,bottomware,leggings,XL,H&M,2427,4836,4.6
male,topware,kurtha,XL,HRX,326,1730,4.4
female,topware,saree,XL,Tommy Hilfiger,920,3282,4.8
female,bottomware,leggings,S,Dennis Lingo,2321,3475,3.7
unisex,bottomware,pants,S,Van Heusen,1875,3821,3.7
unisex,bottomware,pants,S,Ralph Lauren,1850,2741,4.3
male,bottomware,night pants,L,Netplay,2934,4015,3.4
male,bottomware,shorts,M,Prada,1959,2211,3.4
unisex,topware,tshirts,XL,Roadster,1435,4107,3.6
unisex,topware,shirts,XL,Spykar,2003,2737,3.7
male,topware,shirts,S,HRX,2123,3973,3.7
female,topware,half saree,XL,Louis Philippe,995,2103,4.2
unisex,topware,tshirts,L,Spykar,1532,3082,3.8
male,bottomware,night pants,S,Louis Philippe,622,2248,4.7
male,bottomware,night pants,XL,US Polo,493,3144,3.7
male,bottomware,shorts,L,Spykar,960,2887,4.3
female,bottomware,shorts,XL,Dennis Lingo,775,2567,4.5
male,topware,tshirts,XL,Allen Solly,1556,3536,4.4
female,bottomware,leggings,L,Puma,1455,3817,4.6
unisex,bottomware,pants,XXL,Ralph Lauren,2007,4536,4.0
female,bottomware,leggings,S,Arrow,872,3013,3.8
unisex,topware,shirts,XXL,Spykar,727,1207,4.3
female,bottomware,leggings,S,US Polo,1536,3496,3.8
male,topware,kurtha,S,Allen Solly,1071,2254,4.3
male,bottomware,pants,L,Dennis Lingo,2629,5554,3.8
female,topware,kurthi,L,HRX,2812,4846,4.6
male,bottomware,night pants,XXL,Spykar,2652,2935,3.3
unisex,topware,shirts,L,US Polo,696,2195,4.9
unisex,bottomware,shorts,S,Prada,511,2535,4.2
female,topware,saree,M,Wrangler,2473,4236,4.8
unisex,topware,shirts,L,HRX,943,1331,4.7
unisex,bottomware,shorts,XL,Arrow,2876,3924,3.4
female,bottomware,pants,XL,H&M,1534,3495,4.3
unisex,topware,tshirts,XXL,Peter England,938,1337,3.5
male,bottomware,night pants,XXL,Peter England,1623,3459,3.6
unisex,topware,tshirts,L,Tommy Hilfiger,1021,2950,4.8
female,bottomware,pants,L,Gucci,391,2855,4.6
female,bottomware,night pants,L,Tommy Hilfiger,2051,3801,3.7
female,topware,saree,M,Spykar,2396,3469,3.9
unisex,topware,tshirts,XL,Levi's,945,2168,4.7
male,bottomware,pants,S,Dennis Lingo,1713,3671,3.0
unisex,bottomware,shorts,XL,US Polo,2287,4740,4.1
unisex,topware,shirts,S,Netplay,963,3271,4.9
male,topware,kurtha,L,Peter England,1702,3483,3.7
unisex,bottomware,shorts,M,Dennis Lingo,407,1559,4.3
unisex,bottomware,shorts,S,US Polo,2724,5709,3.6
unisex,topware,tshirts,S,Van Heusen,1229,4208,4.2
female,topware,shirt,XL,Pepe Jeans,1139,3258,3.5
female,topware,saree,L,Flying Machine,1437,3861,3.0
male,topware,kurtha,S,Zara,2903,5627,3.3
female,topware,shirt,XL,Prada,2596,3695,4.3
male,bottomware,pants,XXL,US Polo,2986,5500,4.3
female,topware,tshirt,XXL,Tommy Hilfiger,1867,4277,4.8
male,topware,shirts,M,Wrangler,704,3513,4.6
female,bottomware,leggings,XL,Peter England,2923,4435,4.1
male,bottomware,night pants,M,Spykar,2696,4551,4.7
male,bottomware,night pants,XL,Gucci,415,2926,3.6
unisex,topware,tshirts,L,Van Heusen,799,3351,4.4
female,topware,kurthi,XL,Netplay,2609,3672,3.7
male,topware,shirts,S,Prada,1506,2720,3.5
male,topware,shirts,M,Zara,281,2496,4.8
unisex,bottomware,shorts,M,Louis Philippe,541,2059,3.3
female,bottomware,shorts,M,Gucci,818,968,5.0
female,topware,half kurthi,XL,Louis Philippe,2244,3793,3.7
male,topware,kurtha,S,Arrow,1566,2986,4.0
unisex,bottomware,shorts,XXL,Dennis Lingo,2073,4143,4.6
female,bottomware,shorts,M,Gucci,1565,2085,3.7
male,topware,tshirts,XXL,Dennis Lingo,395,3136,3.5
male,bottomware,night pants,M,Van Heusen,1428,3763,4.5
unisex,topware,shirts,M,Netplay,1732,4035,3.4
male,topware,kurtha,XL,Zara,271,2554,3.7
male,bottomware,shorts,M,Zara,1805,4507,4.3
male,topware,tshirts,XL,Allen Solly,1472,2950,4.5
male,topware,kurtha,M,Van Heusen,506,1056,3.7
male,topware,tshirts,XXL,Zara,1484,2138,4.1
unisex,topware,shirts,XXL,Gucci,2300,4775,3.9
male,bottomware,pants,XL,Roadster,2184,4740,4.8
female,bottomware,night pants,S,Arrow,2116,4117,4.6
male,bottomware,night pants,XL,US Polo,1351,2486,3.7
female,topware,kurthi,L,Peter England,1383,3094,4.2
female,topware,saree,XL,Prada,500,3220,3.6
male,topware,tshirts,L,Van Heusen,2104,2845,4.1
female,bottomware,pants,S,Van Heusen,1400,3467,4.5
unisex,topware,tshirts,XL,Adidas,1608,3024,4.7
unisex,topware,shirts,S,Netplay,505,2243,4.9
unisex,bottomware,shorts,XL,Spykar,1964,3025,4.7
unisex,bottomware,pants,XL,US Polo,2612,3665,4.1
male,topware,kurtha,XL,Spykar,1403,2080,4.1
unisex,topware,tshirts,M,Spykar,1445,3608,4.2
female,topware,saree,XXL,Ralph Lauren,349,2230,4.6
male,bottomware,night pants,L,Allen Solly,2695,3717,4.0
unisex,topware,tshirts,S,Wrangler,2628,2949,4.8
unisex,bottomware,shorts,M,Van Heusen,1720,2720,3.7
male,topware,kurtha,M,Tommy Hilfiger,731,1791,4.9
male,topware,tshirts,S,Van Heusen,2552,4308,4.8
male,topware,tshirts,L,Puma,587,904,3.1
unisex,bottomware,pants,XXL,Spykar,1210,2978,4.3
female,topware,kurthi,XXL,Flying Machine,2962,3359,3.5
male,bottomware,shorts,L,Roadster,2209,3430,4.3
female,bottomware,night pants,XXL,Arrow,1776,2466,4.5
male,bottomware,shorts,M,Ralph Lauren,1384,3366,3.2
male,topware,kurtha,XXL,Levi's,2878,4688,3.9
female,bottomware,pants,M,Louis Philippe,2255,3367,3.2
unisex,topware,shirts,M,Arrow,2384,3887,3.7
male,bottomware,pants,L,Netplay,900,3144,4.8
unisex,topware,tshirts,XXL,HRX,1434,3552,3.5
unisex,topware,tshirts,M,Prada,563,1156,3.9
unisex,bottomware,shorts,M,HRX,1708,2293,3.5
male,topware,tshirts,M,H&M,2201,5073,4.2
female,topware,saree,S,Nike,1396,3498,4.5
unisex,topware,tshirts,M,Arrow,1429,2754,3.6
male,topware,kurtha,M,Nike,2825,3589,3.8
female,bottomware,pants,L,Zara,648,2947,3.2
unisex,topware,tshirts,XXL,Ralph Lauren,996,3241,3.4
unisex,topware,shirts,XXL,Tommy Hilfiger,2818,3905,4.9
unisex,topware,shirts,M,Ralph Lauren,854,3829,3.1
female,bottomware,night pants,L,Flying Machine,2673,5460,3.8
male,bottomware,pants,M,Netplay,1178,1627,3.5
unisex,bottomware,shorts,M,Wrangler,1758,2606,4.6
unisex,bottomware,pants,M,Tommy Hilfiger,1382,1748,3.4
female,topware,half kurthi,L,Levi's,1429,2342,3.4
unisex,bottomware,pants,L,Zara,642,2439,4.0
male,topware,tshirts,S,Dennis Lingo,1390,2790,4.6
male,bottomware,pants,S,Ralph Lauren,1172,2347,3.1
male,bottomware,shorts,XL,Spykar,748,2831,4.0
unisex,bottomware,shorts,L,Netplay,418,2090,3.6
male,topware,shirts,XXL,Allen Solly,1957,3330,3.2
female,topware,saree,XXL,Wrangler,2996,3580,3.9
male,bottomware,night pants,S,Puma,1165,2788,3.0
unisex,topware,shirts,L,Spykar,1713,4446,3.5
female,topware,kurthi,L,Spykar,493,1027,4.3
male,bottomware,pants,M,Tommy Hilfiger,2158,4582,4.5
female,bottomware,night pants,L,Puma,1301,2307,4.9
female,bottomware,shorts,S,Tommy Hilfiger,1521,2828,4.7
female,topware,tshirt,S,Pepe Jeans,1179,3100,4.8
unisex,topware,shirts,M,Dennis Lingo,1815,4117,3.5
male,bottomware,pants,XL,Zara,1998,4490,4.4
unisex,bottomware,pants,L,Arrow,2323,5125,4.4
male,bottomware,pants,S,Gucci,417,2637,4.4
female,topware,shirt,XL,Flying Machine,2966,4760,4.7
male,bottomware,pants,S,Arrow,2844,4760,4.2
male,bottomware,pants,L,Dennis Lingo,1768,3049,3.1
male,topware,kurtha,M,H&M,1161,3493,4.5
female,bottomware,pants,L,Puma,589,750,4.1
male,topware,tshirts,S,Dennis Lingo,1628,3967,4.0
unisex,bottomware,pants,L,Louis Philippe,937,3214,4.8
male,topware,kurtha,M,Roadster,1957,4541,4.2
unisex,bottomware,pants,M,Roadster,1314,1883,4.0
female,bottomware,pants,S,Netplay,1732,2502,3.0
male,topware,tshirts,S,Flying Machine,2289,5088,3.6
female,topware,kurthi,M,Dennis Lingo,773,2444,3.3
unisex,bottomware,pants,XL,Van Heusen,478,2094,3.7
unisex,topware,tshirts,L,Tommy Hilfiger,2999,5222,3.6
female,bottomware,leggings,XL,Ralph Lauren,804,3351,4.5
male,topware,tshirts,L,Flying Machine,2041,4903,4.7
male,topware,kurtha,XL,Adidas,2139,3441,3.9
unisex,topware,tshirts,M,Van Heusen,2744,3860,3.5
male,topware,shirts,XL,H&M,2873,3707,3.5
unisex,bottomware,shorts,XXL,Nike,1457,3729,3.4
male,topware,kurtha,M,Levi's,1783,1921,4.5
unisex,bottomware,pants,M,Pepe Jeans,1001,2960,4.2
unisex,bottomware,pants,M,Prada,1493,3269,3.1
female,bottomware,leggings,XXL,HRX,2614,5314,3.2
male,bottomware,pants,M,Allen Solly,2212,4166,4.0
male,topware,shirts,L,Nike,2409,3357,4.2
unisex,topware,tshirts,M,Tommy Hilfiger,2167,3864,3.2
male,topware,shirts,L,Wrangler,450,3410,3.2
female,bottomware,shorts,M,Dennis Lingo,1717,4346,4.8
female,topware,saree,S,Wrangler,1950,3002,4.2
unisex,bottomware,shorts,M,Ralph Lauren,1224,2858,4.7
male,bottomware,pants,XL,Flying Machine,827,1783,4.7
female,bottomware,night pants,M,Levi's,308,2753,3.6
unisex,topware,shirts,S,Dennis Lingo,660,3080,4.0
female,bottomware,night pants,XXL,Van Heusen,1338,2154,3.2
male,topware,tshirts,XXL,Flying Machine,2990,4753,4.2
female,bottomware,leggings,S,Adidas,1405,4353,4.0
female,topware,shirt,XXL,HRX,1423,1917,3.6
male,topware,shirts,S,Puma,2017,2257,3.9
male,bottomware,shorts,S,Allen Solly,1266,4005,4.1
male,bottomware,pants,M,Dennis Lingo,598,3550,3.8
unisex,bottomware,pants,XL,Zara,254,2120,3.4
unisex,bottomware,shorts,L,Netplay,2681,4822,3.5
female,bottomware,pants,M,Adidas,829,2850,5.0
female,bottomware,leggings,L,H&M,566,3311,4.9
male,topware,kurtha,XXL,Zara,641,1625,4.0
male,topware,kurtha,XL,US Polo,2862,4976,3.6
unisex,bottomware,pants,M,Gucci,2445,4094,3.3
unisex,topware,tshirts,XXL,Peter England,2531,3021,4.5
unisex,bottomware,pants,XL,Netplay,1530,1664,3.1
male,topware,tshirts,M,Tommy Hilfiger,308,2506,4.1
female,bottomware,pants,XL,Peter England,688,1743,3.7
male,bottomware,pants,L,Ralph Lauren,2810,3164,3.5
unisex,topware,tshirts,M,Gucci,2815,4849,4.6
unisex,topware,shirts,M,Louis Philippe,2987,3618,3.3
unisex,topware,tshirts,M,Puma,960,3872,3.3
female,topware,saree,L,Gucci,922,3659,3.1
unisex,bottomware,pants,XL,H&M,1112,2836,4.3
unisex,bottomware,pants,S,Roadster,1763,4099,4.8
male,bottomware,night pants,M,US Polo,1112,1253,4.2
unisex,topware,tshirts,M,Wrangler,2781,5319,3.5
male,bottomware,shorts,M,Adidas,1809,4155,5.0
unisex,topware,shirts,XL,US Polo,1338,2175,4.1
male,topware,tshirts,XL,Levi's,1044,1490,3.2
female,bottomware,shorts,L,Netplay,2474,4447,3.6
female,topware,shirt,M,Peter England,532,2908,4.5
unisex,bottomware,pants,L,Pepe Jeans,521,1189,3.2
female,topware,half kurthi,S,Louis Philippe,2222,4818,4.5
female,bottomware,leggings,S,Van Heusen,2930,4822,4.4
unisex,bottomware,shorts,XL,Roadster,2389,5320,3.2
unisex,topware,shirts,M,Nike,1374,1773,4.4
unisex,bottomware,shorts,M,US Polo,1826,3147,3.0
male,bottomware,shorts,XL,Allen Solly,1603,2872,4.3
male,topware,shirts,M,Wrangler,1686,3617,3.0
female,bottomware,leggings,L,Flying Machine,886,1965,5.0
female,topware,shirt,L,Netplay,1141,3028,4.2
female,topware,kurthi,S,Flying Machine,2910,5079,3.1
female,topware,saree,XL,US Polo,739,1279,4.8
male,bottomware,shorts,L,Arrow,1820,3041,4.7
unisex,topware,shirts,XL,Prada,566,1078,3.1
female,bottomware,shorts,XL,Tommy Hilfiger,1385,1526,4.0
female,topware,kurthi,XXL,Van Heusen,963,1564,3.4
unisex,topware,tshirts,XL,Tommy Hilfiger,1445,2386,4.5
male,topware,kurtha,L,Nike,1859,4578,4.5
female,bottomware,pants,XXL,Tommy Hilfiger,1714,4530,4.0
female,bottomware,pants,L,Netplay,381,1054,3.1
male,bottomware,shorts,XXL,Spykar,727,1612,3.3
male,topware,tshirts,XL,Gucci,2381,2663,3.8
unisex,bottomware,pants,M,Dennis Lingo,837,3251,4.5
unisex,bottomware,shorts,L,Gucci,1374,2289,3.2
male,bottomware,night pants,L,Arrow,2872,5169,4.2
unisex,topware,tshirts,M,Wrangler,1386,2321,3.3
female,topware,shirt,L,Wrangler,1025,2621,3.8
male,bottomware,night pants,XXL,H&M,1131,2945,3.1
male,topware,shirts,XXL,US Polo,457,2216,3.9
male,topware,shirts,S,Nike,2521,2776,3.1
unisex,topware,tshirts,XL,Spykar,616,1798,3.9
unisex,topware,shirts,XXL,Netplay,971,2287,4.7
female,bottomware,night pants,M,US Polo,2617,4561,3.6
female,bottomware,leggings,S,Ralph Lauren,1368,3328,4.3
unisex,topware,shirts,M,Prada,2992,4267,3.2
unisex,bottomware,pants,M,Gucci,2280,4235,4.2
unisex,topware,tshirts,S,Wrangler,1117,2205,5.0
female,bottomware,pants,M,US Polo,1505,1977,3.1
male,topware,shirts,M,Arrow,1323,2936,4.9
male,bottomware,pants,M,Roadster,2822,4202,3.9
female,bottomware,shorts,XL,H&M,1429,4369,3.6
unisex,topware,tshirts,XXL,HRX,2988,5733,3.8
male,bottomware,pants,L,Tommy Hilfiger,1786,3017,3.7
male,bottomware,night pants,M,Dennis Lingo,789,2133,4.3
male,topware,kurtha,XL,Puma,798,2975,3.1
male,bottomware,night pants,XXL,Netplay,1138,3715,4.3
female,bottomware,night pants,S,Roadster,769,3514,3.3
female,bottomware,leggings,S,Van Heusen,1214,2679,4.3
unisex,bottomware,shorts,S,Ralph Lauren,2716,5675,4.2
female,bottomware,leggings,XXL,Arrow,2040,2452,3.0
unisex,bottomware,pants,XXL,Netplay,1749,4463,4.8
female,topware,tshirt,M,US Polo,2414,3290,3.0
unisex,bottomware,shorts,S,Zara,1243,2949,3.4
male,bottomware,pants,XL,Spykar,1178,2148,3.7
unisex,bottomware,pants,XL,Arrow,1925,2371,3.0
male,bottomware,shorts,S,Netplay,2939,4854,3.6
unisex,bottomware,shorts,XXL,Arrow,1502,3466,3.6
female,topware,half saree,XL,Tommy Hilfiger,1236,1577,3.7
female,bottomware,night pants,XXL,Ralph Lauren,2551,4441,3.9
female,bottomware,leggings,M,Wrangler,570,3095,4.4
female,topware,half kurthi,S,Netplay,1902,4482,4.8
unisex,bottomware,shorts,L,Pepe Jeans,548,1363,4.5
male,topware,tshirts,L,Zara,201,2537,4.8
male,bottomware,night pants,XL,Tommy Hilfiger,533,2009,3.2
unisex,bottomware,shorts,L,Ralph Lauren,1138,3399,3.8
female,bottomware,shorts,XXL,Prada,2371,2688,4.9
unisex,topware,shirts,XL,Netplay,1976,4619,4.4
unisex,bottomware,pants,XXL,Spykar,2523,3376,4.2
female,bottomware,pants,XXL,Netplay,2179,3483,3.7
male,topware,kurtha,L,Allen Solly,1762,1995,4.2
unisex,bottomware,shorts,L,Dennis Lingo,356,936,4.0
unisex,bottomware,pants,L,Louis Philippe,2927,4519,4.8
male,bottomware,pants,XXL,Levi's,2237,3318,4.7
male,bottomware,night pants,L,Gucci,2813,4640,3.5
male,bottomware,night pants,XL,Tommy Hilfiger,650,2031,3.7
female,bottomware,night pants,XXL,Nike,337,999,3.9
male,topware,tshirts,L,US Polo,1078,1178,4.6
male,bottomware,night pants,XL,Pepe Jeans,1991,3022,3.6
female,bottomware,shorts,S,Wrangler,1989,3382,4.5
male,topware,shirts,M,Adidas,275,1641,3.6
female,bottomware,pants,XL,Louis Philippe,941,3131,4.2
unisex,topware,tshirts,S,Louis Philippe,1881,2114,4.5
unisex,bottomware,pants,M,Roadster,528,1282,4.6
female,topware,saree,L,Gucci,1722,3188,4.8
male,topware,tshirts,L,Flying Machine,1323,2743,4.6
female,topware,saree,M,Roadster,2069,3860,4.8
female,bottomware,shorts,L,Roadster,270,2250,3.1
male,topware,shirts,XXL,US Polo,2869,5253,3.8
female,topware,half saree,S,US Polo,2024,2206,3.6
female,bottomware,pants,M,Tommy Hilfiger,957,3022,4.2
female,bottomware,pants,XL,Flying Machine,2210,4695,4.9
male,topware,shirts,XL,Zara,2464,4223,4.2
female,topware,kurthi,S,Zara,1528,2147,4.8
male,topware,tshirts,S,Puma,2410,4337,4.7
male,bottomware,shorts,XXL,Zara,1411,3878,4.8
male,topware,shirts,L,Allen Solly,934,2725,4.6
unisex,topware,shirts,M,Zara,739,3662,4.9
male,bottomware,shorts,L,Dennis Lingo,269,1939,4.2
unisex,topware,shirts,S,Ralph Lauren,1952,2732,4.9
male,bottomware,night pants,S,HRX,696,2637,4.6
unisex,bottomware,shorts,XL,Spykar,1658,3590,4.4
male,bottomware,night pants,XL,Netplay,1457,3845,3.9
unisex,bottomware,shorts,XXL,Peter England,1551,3175,4.1
male,topware,kurtha,XXL,Louis Philippe,2585,5584,4.8
unisex,topware,shirts,M,Roadster,1599,3306,3.9
female,topware,kurthi,XXL,Allen Solly,1917,2084,3.7
unisex,bottomware,shorts,S,Gucci,2819,3288,4.2
unisex,topware,shirts,L,Wrangler,389,832,4.4
male,topware,kurtha,S,Dennis Lingo,812,1700,4.5
unisex,bottomware,shorts,S,Roadster,519,3108,3.5
unisex,topware,shirts,XL,Allen Solly,941,1043,3.2
female,bottomware,shorts,S,Flying Machine,2155,5103,3.5
female,topware,saree,L,H&M,2195,3680,3.6
unisex,bottomware,shorts,XXL,Louis Philippe,840,3423,3.9
female,bottomware,shorts,L,Arrow,329,2001,4.2
unisex,topware,shirts,XXL,Zara,815,1457,4.0
unisex,topware,tshirts,S,Van Heusen,2401,4148,4.4
male,topware,tshirts,L,Roadster,2711,4127,4.1
unisex,topware,tshirts,XL,Allen Solly,1730,3606,4.0
female,bottomware,shorts,S,Prada,687,1583,4.1
female,topware,shirt,XXL,Netplay,1666,3664,3.5
unisex,bottomware,pants,XXL,Levi's,2967,5345,4.8
unisex,bottomware,pants,S,Wrangler,257,2668,4.7
unisex,bottomware,pants,S,Flying Machine,731,3258,5.0
female,topware,half kurthi,M,Levi's,1600,3816,4.2
female,bottomware,night pants,XXL,Netplay,2677,3420,3.6
unisex,bottomware,pants,L,Tommy Hilfiger,2633,3976,3.5
unisex,topware,tshirts,M,US Polo,2359,3886,4.7
female,bottomware,leggings,L,Zara,792,1720,4.5
female,bottomware,pants,S,Netplay,2967,4665,3.1
unisex,topware,tshirts,M,Louis Philippe,208,687,3.8
female,topware,half saree,XXL,Gucci,711,3572,4.5
male,bottomware,shorts,L,Peter England,2352,3009,4.6
unisex,topware,tshirts,XXL,Gucci,2060,3319,3.7
male,topware,shirts,XXL,Peter England,359,669,3.0
female,bottomware,shorts,M,Pepe Jeans,1188,3790,4.0
male,topware,shirts,XXL,HRX,2002,2850,3.6
male,bottomware,pants,M,Adidas,1079,3064,4.7
unisex,topware,shirts,S,Gucci,643,833,4.4
unisex,bottomware,pants,XXL,Netplay,1431,1608,4.5
unisex,topware,shirts,M,Louis Philippe,631,2508,4.2
female,bottomware,night pants,M,Tommy Hilfiger,203,796,4.6
unisex,bottomware,pants,S,Roadster,1169,2666,4.3
female,bottomware,pants,L,Dennis Lingo,634,2788,4.1
female,topware,shirt,L,Van Heusen,1607,2380,3.8
female,topware,half kurthi,XL,Pepe Jeans,1793,3190,4.5
male,topware,kurtha,L,Netplay,2018,3298,3.7
unisex,bottomware,shorts,XL,Puma,352,2544,3.3
female,bottomware,pants,XL,HRX,1971,2353,4.2
male,bottomware,shorts,M,Dennis Lingo,599,3135,3.4
male,topware,kurtha,M,US Polo,2991,4469,4.6
male,topware,tshirts,L,Netplay,1109,2780,4.8
unisex,topware,tshirts,M,Nike,547,2791,4.3
female,bottomware,shorts,XXL,Gucci,739,3432,3.1
unisex,bottomware,pants,XL,Arrow,1795,2485,4.2
female,bottomware,pants,S,Zara,2986,4743,4.4
unisex,bottomware,pants,S,Nike,247,2387,3.6
male,bottomware,night pants,XXL,Spykar,1684,2380,4.5
